"brand","eta_in_minutes","images/0","images/1","images/2","images/3","images/4","images/5","images/6","images/7","images/8","images/9","images/10","images/11","images/12","images/13","images/14","images/15","images/16","images/17","images/18","images/19","images/20","inventory","latitude","location","longitude","merchant_id","merchant_type","mrp","name","offer_text","out_of_stock","price","product_id","product_url","rating_value","search_keyword","timestamp","variant"
"Drools",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-485.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-486.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-487.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-488.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-489.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-490.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-491.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-492.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-493.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-494.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-495.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-496.png",,,,,,,,,,"1","12.8575579","Sarjapur","77.7864057","46907","express","999","Drools Real Chicken Adult Dry Cat Food","14% OFF","false","850","785007","https://blinkit.com/prn/drools-real-chicken-adult-dry-cat-food/prid/785007",,"cat food","2026-07-31T06:29:51.197Z","3.8 kg"
"PurePet",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-668.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-669.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-670.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-671.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-672.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-673.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-674.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-675.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1778470572131-190.png",,,,,,,,,,,,,"5","12.8575579","Sarjapur","77.7864057","46907","express","199","PurePet Mackerel Adult Dry Cat Food","18% OFF","false","162","555807","https://blinkit.com/prn/purepet-mackerel-adult-dry-cat-food/prid/555807","4.75","cat food","2026-07-31T06:29:51.305Z","1 kg"
"PurePet",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-647.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-648.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-649.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-650.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-651.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-652.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-653.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-654.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1783568562819-655.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1778470572131-128.png",,,,,,,,,,,,"7","12.8575579","Sarjapur","77.7864057","46907","express","499","PurePet Dry Cat Food (Ocean Fish, Adult)","10% OFF","false","449","491942","https://blinkit.com/prn/purepet-dry-cat-food-ocean-fish-adult/prid/491942","4.75","cat food","2026-07-31T06:29:51.363Z","2.8 kg"
"Drools",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-459.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-460.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-461.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-462.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-463.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-464.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-465.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-466.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-467.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-468.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-469.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-470.png",,,,,,,,,,"1","12.8575579","Sarjapur","77.7864057","46907","express","999","Drools Dry Cat Food (Tuna Salmon)","14% OFF","false","850","785004","https://blinkit.com/prn/drools-dry-cat-food-tuna-salmon/prid/785004",,"cat food","2026-07-31T06:29:51.432Z","3.8 kg"
"Whiskas",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-213.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-214.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-215.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-216.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-217.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-218.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-219.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-220.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-221.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-222.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-223.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-224.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-225.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-226.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-227.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-228.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-229.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-230.png","https://cdn.grofers.com/da/cms-assets/cms/product/5a4e3d44-b616-4687-b49a-dee1a74f9a59.png",,,"6","12.8575579","Sarjapur","77.7864057","46907","express","50","Whiskas Wet Kitten Food -Chicken in Gravy (2-12 Months)","None","false","50","363461","https://blinkit.com/prn/whiskas-wet-kitten-food-chicken-in-gravy-2-12-months/prid/363461","4.72","cat food","2026-07-31T06:29:51.486Z","80 g"
"Whiskas",,"https://cdn.grofers.com/da/cms-assets/cms/product/b7110614-0cd9-4846-8ad9-ca4c47f027d3.png","https://cdn.grofers.com/da/cms-assets/cms/product/014969d7-d819-45af-ab0d-665d0e17cab4.png","https://cdn.grofers.com/da/cms-assets/cms/product/6cb91c1e-466e-4efd-97c6-46a73c34772d.png","https://cdn.grofers.com/da/cms-assets/cms/product/7004adfd-4037-4808-b61c-b17426dca68a.png","https://cdn.grofers.com/da/cms-assets/cms/product/9797cd84-0c51-4d1e-b54d-786d1d2176ca.png","https://cdn.grofers.com/da/cms-assets/cms/product/e61bbfa2-e82d-4581-9a01-6f9b235aaf4c.png","https://cdn.grofers.com/da/cms-assets/cms/product/3cd62b4a-7556-4a24-89db-b291da0b3a5d.png","https://cdn.grofers.com/da/cms-assets/cms/product/776d3b36-9682-40f9-8b78-89d3a64e15cc.png","https://cdn.grofers.com/da/cms-assets/cms/product/6bbf5239-f134-485e-a32e-859e28f2d260.png","https://cdn.grofers.com/da/cms-assets/cms/product/65f7bdc7-82e5-4057-aa03-aa3f142be394.png","https://cdn.grofers.com/da/cms-assets/cms/product/c70f6c10-2cb9-4a82-b3a1-0e596ca3c108.png","https://cdn.grofers.com/da/cms-assets/cms/product/7f6135a9-3923-406e-9c09-4094b65d296b.png","https://cdn.grofers.com/da/cms-assets/cms/product/4c48be72-3206-4566-9b22-ea67e4c3edd2.png","https://cdn.grofers.com/da/cms-assets/cms/product/1ac8c770-dd87-4199-8686-806a6bf05f14.png","https://cdn.grofers.com/da/cms-assets/cms/product/3613f46a-dbff-4015-8403-1636542afb87.png","https://cdn.grofers.com/da/cms-assets/cms/product/a483705f-fe97-4385-a006-a672f2c37f73.png","https://cdn.grofers.com/da/cms-assets/cms/product/d16e6000-51fd-4e35-865b-07aa1a56e23f.png","https://cdn.grofers.com/da/cms-assets/cms/product/852e1169-cbd1-40b9-81ac-c226ecde206c.png","https://cdn.grofers.com/da/cms-assets/cms/product/d08eafed-ec2b-4023-86d5-8e7c44adecc7.png","https://cdn.grofers.com/da/cms-assets/cms/product/d140acab-238a-449b-9295-8d0494788922.png","https://cdn.grofers.com/da/cms-assets/cms/product/567c15c9-ec16-43b3-8dc6-72649a4ac49f.png","8","12.8575579","Sarjapur","77.7864057","46907","express","50","Whiskas Tasty Mix Wet Cat Food, Chicken With Tuna & Carrot in Gravy","None","false","50","480317","https://blinkit.com/prn/whiskas-tasty-mix-wet-cat-food-chicken-with-tuna-carrot-in-gravy/prid/480317","4.73","cat food","2026-07-31T06:29:51.537Z","70 g"
"Drools",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-472.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-473.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-474.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-475.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-476.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-477.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-478.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-479.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-480.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-481.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-482.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782963764049-483.png",,,,,,,,,,"1","12.8575579","Sarjapur","77.7864057","46907","express","999","Drools Mackerel Adult Dry Cat Food","14% OFF","false","850","785006","https://blinkit.com/prn/drools-mackerel-adult-dry-cat-food/prid/785006",,"cat food","2026-07-31T06:29:51.590Z","3.8 kg"
"Whiskas",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-248.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-249.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-250.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-251.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-252.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-253.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-254.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-255.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-256.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-257.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-258.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-259.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-260.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-261.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-262.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-263.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-264.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-265.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-266.png","https://cdn.grofers.com/da/cms-assets/cms/product/1eceb537-8acd-4a5d-998e-63630665ddfb.png",,"3","12.8575579","Sarjapur","77.7864057","46907","express","700","Whiskas Wet Kitten Food -Tuna in Jelly Junior (2-12 Months)","7% OFF","false","649","409639","https://blinkit.com/prn/whiskas-wet-kitten-food-tuna-in-jelly-junior-2-12-months/prid/409639","4.61","cat food","2026-07-31T06:29:51.650Z","14 x 80 g"
"Purple Tails",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1773116238333-211.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1773116238333-212.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1773116238333-213.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1773116238333-214.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1773116238333-215.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1773116238333-216.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1773116238333-217.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1773116238333-218.png",,,,,,,,,,,,,,"4","12.8575579","Sarjapur","77.7864057","46907","longtail","499","Purple Tails Activated Carbon Cat Litter","44% OFF","false","279","677772","https://blinkit.com/prn/purple-tails-activated-carbon-cat-litter/prid/677772","4.69","cat litter","2026-07-31T06:30:02.144Z","5 kg"
"BearHugs",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-714.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-715.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-716.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-717.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-718.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-719.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-720.png",,,,,,,,,,,,,,,"5","12.8575579","Sarjapur","77.7864057","46907","express","399","BearHugs Unscented Bentonite Cat Litter (5 kg)","37% OFF","false","249","525660","https://blinkit.com/prn/bearhugs-unscented-bentonite-cat-litter-5-kg/prid/525660","4.55","cat litter","2026-07-31T06:30:02.444Z","5 kg"
